description,hostname,field_name,field_value,snmp_index,data_source_path
 P-D2-JT2,61.5.14.159,ifName,Bundle-Ether24,869,<path_rra>/p-d2-jt2_new_traffic_in_155517.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/5/0/17,1449,<path_rra>/p-d1-btc_traffic_in_164361.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/5/0/16,1448,<path_rra>/p-d1-btc_traffic_in_164360.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/5/0/15,1447,<path_rra>/p-d1-btc_traffic_in_164359.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/5/0/14,1446,<path_rra>/p-d1-btc_traffic_in_164358.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/5/0/13,1445,<path_rra>/p-d1-btc_traffic_in_164357.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/5/0/12,1444,<path_rra>/p-d1-btc_traffic_in_164356.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/23,863,<path_rra>/p-d7-ptr_traffic_in_175391.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/24,864,<path_rra>/p-d7-ptr_traffic_in_175392.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/25,865,<path_rra>/p-d7-ptr_traffic_in_175393.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/26,866,<path_rra>/p-d7-ptr_traffic_in_175394.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/4/0/4,346,<path_rra>/p-d7-pnk_traffic_in_175605.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/4/0/2,343,<path_rra>/p-d7-pnk_traffic_in_175606.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/14/0/27,686,<path_rra>/p-d7-pnk_traffic_in_177097.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/4/0/31,662,<path_rra>/p-d7-mdo_traffic_in_178831.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/4/0/25,656,<path_rra>/p-d7-mdo_traffic_in_178825.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/14/0/28,687,<path_rra>/p-d7-pnk_traffic_in_177098.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/5/0/22,1587,<path_rra>/p-d1-bds_traffic_in_175255.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/15/0/21,1552,<path_rra>/p-d1-bds_traffic_in_175222.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/15/0/20,1551,<path_rra>/p-d1-bds_traffic_in_175221.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/5/0/29,1593,<path_rra>/p-d1-bds_traffic_in_175261.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/5/0/28,1592,<path_rra>/p-d1-bds_traffic_in_175260.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/16/0/23,1678,<path_rra>/p-d1-btc_traffic_in_175327.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/16/0/24,1679,<path_rra>/p-d1-btc_traffic_in_175328.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/25,1611,<path_rra>/p-d1-btc_traffic_in_175281.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/26,1612,<path_rra>/p-d1-btc_traffic_in_175282.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/27,1613,<path_rra>/p-d1-btc_traffic_in_175283.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/28,1614,<path_rra>/p-d1-btc_traffic_in_175284.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/29,1615,<path_rra>/p-d1-btc_traffic_in_175285.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/22,1608,<path_rra>/p-d1-btc_traffic_in_175278.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/13,853,<path_rra>/p-d7-ptr_traffic_in_175381.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/12,852,<path_rra>/p-d7-ptr_traffic_in_175380.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/11,851,<path_rra>/p-d7-ptr_traffic_in_175379.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/10,850,<path_rra>/p-d7-ptr_traffic_in_175378.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/9,849,<path_rra>/p-d7-ptr_traffic_in_175377.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/8,848,<path_rra>/p-d7-ptr_traffic_in_175376.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/5/0/26,1591,<path_rra>/p-d1-bds_traffic_in_175259.rrd
 P-D5-KBL,61.5.14.164,ifName,HundredGigE0/1/0/28,701,<path_rra>/p-d5-kbl_traffic_in_150006.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/30,847,<path_rra>/p-d7-ptr_traffic_in_175375.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/16/0/13,1668,<path_rra>/p-d1-btc_traffic_in_175317.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/16/0/14,1669,<path_rra>/p-d1-btc_traffic_in_175318.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/31,794,<path_rra>/p-d7-mdo_traffic_in_178895.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/30,793,<path_rra>/p-d7-mdo_traffic_in_178894.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/29,792,<path_rra>/p-d7-mdo_traffic_in_178893.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/21,861,<path_rra>/p-d7-ptr_traffic_in_175389.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/22,862,<path_rra>/p-d7-ptr_traffic_in_175390.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/26,789,<path_rra>/p-d7-mdo_traffic_in_178890.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/31,1617,<path_rra>/p-d1-btc_traffic_in_175287.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/13,697,<path_rra>/p-d7-mdo_traffic_in_178832.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/0,698,<path_rra>/p-d7-mdo_traffic_in_178833.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/1,699,<path_rra>/p-d7-mdo_traffic_in_178834.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/2,700,<path_rra>/p-d7-mdo_traffic_in_178835.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/4/0/26,657,<path_rra>/p-d7-mdo_traffic_in_178826.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/3,701,<path_rra>/p-d7-mdo_traffic_in_178836.rrd
 P-D7-MDO,61.5.14.54,ifName,TenGigE0/18/1/9,123,<path_rra>/p-d7-mdo_traffic_in_175578.rrd
 P-D7-BAL,61.5.13.11,ifName,Bundle-Ether107,1166,<path_rra>/p-d7-bal_traffic_in_175751.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/30,1616,<path_rra>/p-d1-btc_traffic_in_175286.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/17,780,<path_rra>/p-d7-mdo_traffic_in_178881.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/6/0/12,1644,<path_rra>/p-d1-btc_traffic_in_175293.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/15,778,<path_rra>/p-d7-mdo_traffic_in_178879.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/15/0/14,777,<path_rra>/p-d7-mdo_traffic_in_178878.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/2,806,<path_rra>/p-d7-ptr_traffic_in_175374.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/7,805,<path_rra>/p-d7-ptr_traffic_in_175373.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/1,804,<path_rra>/p-d7-ptr_traffic_in_175372.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/4,803,<path_rra>/p-d7-ptr_traffic_in_175371.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/0,802,<path_rra>/p-d7-ptr_traffic_in_175370.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/17/0/3,801,<path_rra>/p-d7-ptr_traffic_in_175369.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/14/0/24,996,<path_rra>/p-d7-ptr_traffic_in_175450.rrd
 P-D7-PTR,61.5.13.10,ifName,HundredGigE0/14/0/25,997,<path_rra>/p-d7-ptr_traffic_in_175451.rrd
 P-D1-BTC,61.5.14.57,ifName,HundredGigE0/15/0/20,1606,<path_rra>/p-d1-btc_traffic_in_175276.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/14/0/20,1519,<path_rra>/p-d1-bds_traffic_in_175189.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/14/0/19,1518,<path_rra>/p-d1-bds_traffic_in_175188.rrd
